GSE103785	LHY	Col_seedling_2w	GSM2781836	GSM2781837	0	SRP117563
GSE104368	EBS	Col-0_whole-seedling_10d	GSM2796111;GSM2796112;GSM2796112	GSM2796114;GSM2796115;GSM2796116	0	SRP119038
GSE104369	SHL	Col-0_whole-seedling_10d	GSM2796117;GSM2796118	GSM2796119;GSM2796120	0	SRP119039
GSE106415	SOG1	Col-0_whole-plant_2w-zeocin	GSM2837360	GSM2837359	0	SRP123349
GSE108455	AGL8	Col-0_Inflorescence-meristem_6w	GSM2898768;GSM2898769	GSM2898770	0	SRP127403
GSE108455	AGL8	Ler_gynoecium_6w	GSM2898771;GSM2898772	GSM2898773	0	SRP127403
GSE108741	RBR1	Ler-0_MM2d-cell-culture_3d	GSM2912783;GSM2912784		0	SRP128032
GSE108960	CLF	Col-0_seedling_10d	GSM2916533;GSM2916534	GSM2916537	0	SRP128550
GSE108960	EZA1	Col-0_seedling_10d	GSM2916535;GSM2916536	GSM2916537	0	SRP128550
GSE109149	WRKY18-33-40	Col-0_seedling_12d-wt-flg22-0h	GSM2933092;GSM2933100	GSM2933088;GSM2933096	0	SRP129015
GSE109149	WRKY18-33-40	Col-0_seedling_12d-wt-flg22-2h	GSM2933093;GSM2933101	GSM2933089;GSM2933097	0	SRP129015
GSE109149	WRKY18-33-40	Col-0_seedling_12d-mutant-flg22-0h	GSM2933094;GSM2933102	GSM2933090;GSM2933098	0	SRP129015
GSE109149	WRKY18-33-40	Col-0_seedling_12d-mutant-flg22-2h	GSM2933095;GSM2933103	GSM2933091;GSM2933099	0	SRP129015
GSE109977	NFYB9	Col-0_developping-seed	GSM2974992;GSM2974994	GSM2974993;GSM2974995	0	
GSE112529	SOG1	Col-0_seedling_10d-gamma-ir-1h	GSM3072266	GSM3072264	0	SRP136806
GSE112529	SOG1	Col-0_seedling_10d-gamma-ir-20min	GSM3072267	GSM3072265	0	SRP136806
GSE112951	DET1	Col-0_wt-seedling_5d-L	GSM3092016;GSM3092017	GSM3092008;GSM3092009	0	SRP139782
GSE112951	DET1	Col-0_wt-seedling_5d-D	GSM3092018;GSM3092019	GSM3092010;GSM3092011	0	SRP139782
GSE112951	DET1	Col-0_det1-seedling_5d-L	GSM3092020;GSM3092021	GSM3092012;GSM3092013	0	SRP139782
GSE112951	DET1	Col-0_det1-seedling_5d-D	GSM3092022;GSM3092023	GSM3092014;GSM3092015	0	SRP139782
GSE117797	HY5	Ws_whole-plant_10d-blue-light	GSM3309415;GSM3309416;GSM3309417	GSM3309414	0	SRP155528
GSE117797	HY5	Ws_whole-plant_10d-red-light	GSM3309418;GSM3309419;GSM3309420	GSM3309414	0	SRP155528
GSE118025	LDL1	Col-0_seedling_14d	GSM3317451,GSM3317452	GSM3317453	0	SRP156129
GSE120068	IDD4	Col-0_seedling_14d	GSM3392896;GSM3392897;GSM3392898	GSM3392899;GSM3392900;GSM3392901	0	SRP161929
GSE14600	SEP3	Col-0_inflorescence_5-7w	GSM364939;GSM364940;GSM364942	GSM364941	0	SRP000783
GSE14600	SEP3	Ler_inflorescence_5-7w	GSM364943		0	SRP000783
GSE16940	AMS	Col_cells	GSM424618		0	SRP002566
GSE20176	AP1	Col_apical-meristem-DEX	GSM506208;GSM506209	GSM506210;GSM506211	0	SRP002174
GSE21301	AP2	Col-0_inflorescence	GSM532325;GSM532326	GSM532327;GSM532328	0	SRP002328
GSE24568	LFY	Col-0_seedling_15d	GSM605656;GSM605657	GSM605654;GSM605655	0	SRP003928
GSE26722	REV	Col-0_seedling_10d-DEX-90min	GSM2086282	GSM2086281	0	SRP006211
GSE26722	REV	Col-0_seedling_10d-DEX-45min	GSM657970	GSM657971	0	SRP006211
GSE30711	FHY3	No-0_seedling_4d-dark	GSM761689		0	SRP007485
GSE30711	FHY3	No-0_seedling_4d-far-red	GSM761690		0	SRP007485
GSE33120	SVP	Col-0_inflorescence-flower-meristem_2w-GFP	GSM820411;GSM820412		0	SRP009053
GSE33120	SVP	Col-0_seedling_4d	GSM820413;GSM820414		0	SRP009053
GSE33120	SVP	Col-0_inflorescence-flower-meristem_2w-wt	GSM820415;GSM820416		0	SRP009053
GSE35059	PIF5	Col-0_seedling_14d	GSM861508	GSM861509	0	SRP010315
